schedule,T'=12,T'=25,T'=50,T'=100,T'=125,T'=150,T'=200,T'=250
uniform,0.556 ± 0.035,0.603 ± 0.057,0.5756 ± 0.131,0.5881 ± 0.099,0.6136 ± 0.088,0.6042 ± 0.101,0.591 ± 0.073,0.5286 ± 0.0995
vista,0.533 ± 0.050,0.545 ± 0.095,0.5579 ± 0.094,0.5178 ± 0.109,0.5122 ± 0.079,0.5135 ± 0.106,0.521 ± 0.083,0.5170 ± 0.1011
top_dv,0.410 ± 0.116,0.518 ± 0.070,0.5337 ± 0.062,0.5854 ± 0.102,0.5483 ± 0.149,0.5313 ± 0.151,0.526 ± 0.105,0.5960 ± 0.1241
top_v,0.347 ± 0.148,0.341 ± 0.135,0.347 ± 0.131,0.330 ± 0.145,0.355 ± 0.138,0.358 ± 0.141,0.380 ± 0.143,0.3656 ± 0.1402
interval1,0.115 ± 0.043,0.139 ± 0.056,0.212 ± 0.048,0.303 ± 0.085,0.338 ± 0.067,0.346 ± 0.086,0.398 ± 0.094,0.4381 ± 0.1281
interval2,0.306 ± 0.164,0.292 ± 0.124,0.339 ± 0.147,0.345 ± 0.151,0.371 ± 0.140,0.395 ± 0.142,0.401 ± 0.139,0.4392 ± 0.1765
interval3,0.342 ± 0.163,0.343 ± 0.151,0.339 ± 0.163,0.345 ± 0.152,0.333 ± 0.127,0.364 ± 0.145,0.372 ± 0.124,0.3496 ± 0.1358
interval4,0.346 ± 0.154,0.352 ± 0.172,0.347 ± 0.157,0.355 ± 0.161,0.353 ± 0.162,0.350 ± 0.152,0.368 ± 0.159,0.3635 ± 0.1460
interval5,0.352 ± 0.168,0.348 ± 0.162,0.350 ± 0.162,0.350 ± 0.161,0.350 ± 0.158,0.346 ± 0.155,0.350 ± 0.160,0.3466 ± 0.1570
