schedule,T'=12,T'=25,T'=50,T'=100,T'=125,T'=150,T'=200,T'=250
uniform,11.9 ± 3.2,19.5 ± 2.8,21.5 ± 6.6,22.3 ± 7.4,22.4 ± 4.4,19.3 ± 4.6,18.9 ± 6.8,13.4 ± 3.6
vista,20.6 ± 4.6,23.2 ± 6.7,22.6 ± 5.4,19.8 ± 6.4,17.9 ± 5.5,16.9 ± 6.1,15.1 ± 4.9,14.5 ± 6.4
top_dv,17.5 ± 7.0,21.7 ± 4.1,19.9 ± 4.2,18.1 ± 4.9,16.7 ± 6.0,15.5 ± 6.4,13.4 ± 4.5,15.5 ± 5.1
top_v,4.0 ± 1.4,4.0 ± 1.9,4.1 ± 1.6,3.9 ± 1.7,4.4 ± 1.8,4.7 ± 2.4,4.7 ± 2.4,4.7 ± 1.8
interval1,10.7 ± 4.7,13.0 ± 5.7,18.5 ± 5.5,18.0 ± 5.8,16.7 ± 6.1,16.0 ± 5.6,14.6 ± 4.9,12.2 ± 4.9
interval2,5.3 ± 1.5,5.6 ± 1.6,5.4 ± 1.6,5.1 ± 2.2,5.6 ± 1.4,5.6 ± 1.6,6.1 ± 1.5,5.3 ± 2.0
interval3,3.6 ± 1.6,4.4 ± 1.3,3.8 ± 1.8,3.9 ± 1.7,3.6 ± 1.6,4.0 ± 1.2,4.7 ± 2.2,4.4 ± 1.3
interval4,3.6 ± 1.6,3.5 ± 1.5,3.2 ± 1.5,3.8 ± 1.5,3.6 ± 1.6,4.0 ± 1.7,3.9 ± 1.7,3.8 ± 1.3
interval5,2.9 ± 1.4,3.0 ± 1.6,3.0 ± 1.7,2.8 ± 1.5,2.9 ± 1.7,2.9 ± 1.5,3.1 ± 1.4,3.2 ± 1.4
